serial_number,asset_type_id,asset_type_label,asset_type_alt_labels
1,1,Video,
2,1.1,Feature,Replace
3,1.2,Episode,
4,1.1.1,Movie,Film
5,1.1.2,Short Form,
6,1.1.3,TV Show,
7,1.1.4,Advertisement,adslate|adbreakslate|Ad|Commercial
8,1.1.5,Trailer,Preview
9,1.1.6,Promo,
10,1.1.7,Interstitial,
11,1.1.8,Bumper,
12,1.1.9,Rescue,scheduled_rescue|breakout_wheel
13,1.1.10,Other,
14,1.1.11,Teaser,
15,1.1.12,Live,
16,1.1.13,Sponsored,
17,1.1.14,Filler,
18,1.1.15,Wheeler,
19,1.1.16,Ident,
20,1.1.17,Warning,
21,1.1.18,Recorded Live,live_rec
22,1.1.19,Deferred Live,
23,1.2.1,Short Form,
24,1.2.2,Program,
25,1.1.2.1,Shorts Sponsored,
26,1.1.3.1,Program,
27,1.1.8.1,BumperIn,
28,1.1.8.2,BumperOut,
29,1.1.8.3,Bumper Sponsored,
30,1.1.16.1,Ident Adjustable,
31,1.2.1.1,Shorts Sponsored,
32,2,Audio,
33,2.1,Podcast,
34,3,Image,
35,3.1,Poster,Banner
36,3.2,Logo,
37,3.3,Thumbnail,
38,3.4,Other,
39,3.5,Stillcut,
40,3.6,Landscape,
41,3.1.1,PosterTitledLight,
42,3.1.2,PosterTitledDark,
43,3.1.3,PosterUntitledLight,
44,3.1.4,PosterUntitledDark,
45,3.3.1,ThumbnailLight,
46,3.3.2,ThumbnailDark,
47,3.5.1,StillcutTitledLight,
48,3.5.2,StillcutTitledDark,
49,3.5.3,StillcutUntitledLight,
50,3.5.4,StillcutUntitledDark,
51,3.6.1,LandscapeTitledLight,
52,3.6.2,LandscapeTitledDark,
53,3.6.3,LandscapeUntitledLight,
54,3.6.4,LandscapeUntitledDark,
55,4,Graphic,
56,4.1,Logo,Bug
57,4.2,AstonBand,LowerThird
58,4.3,L-Band,
59,4.4,FullScreenGraphic,
60,4.5,Ticker,
61,4.6,NowNextLater,
62,5,OverlayGraphic,
63,6,RenderedGraphic,
